store,dt,opening_stock
C,2024-09-14,835
G,2025-03-05,264
B,2025-12-04,54
C,2025-07-25,1017
F,2024-01-11,516
B,2024-09-22,286
A,2024-01-11,164
B,2024-03-28,5
G,2025-06-16,516
B,2024-01-12,120
A,2024-01-26,101
B,2025-04-25,310
A,2024-06-13,201
G,2024-06-12,391
G,2023-09-22,279
A,2024-12-20,335
A,2024-08-05,403
A,2025-06-30,443
F,2025-01-06,632
F,2024-12-02,499
B,2025-04-03,315
A,2023-10-14,285
B,2025-09-14,363
C,2024-03-26,808
E,2025-03-02,478
E,2023-07-25,64
F,2025-06-13,626
D,2024-05-05,38
E,2025-04-09,406
E,2025-11-25,603
B,2024-03-15,68
G,2024-04-26,228
C,2023-11-29,1149
B,2023-12-04,80
D,2023-07-31,159
B,2023-08-25,115
C,2024-06-03,753
B,2025-04-26,307
A,2024-04-29,134
A,2025-03-17,347
A,2025-09-10,805
G,2025-03-16,217
G,2024-09-27,329
F,2025-02-17,628
C,2025-04-26,954
C,2024-04-22,751
F,2024-06-13,671
F,2024-06-06,316
D,2025-06-16,558
F,2024-10-24,503
B,2024-03-29,98
D,2024-07-08,23
F,2025-09-07,463
B,2024-02-17,23
A,2023-08-14,500
D,2024-11-13,421
E,2024-10-10,370
B,2025-09-09,179
F,2024-07-10,648
F,2025-05-29,496
G,2024-03-04,327
A,2025-05-26,424
G,2025-03-28,161
B,2024-11-27,241
A,2025-09-19,768
C,2024-07-18,613
E,2025-05-17,519
A,2025-03-02,439
B,2024-06-10,64
A,2024-05-26,107
C,2023-08-06,1259
D,2025-03-11,547
E,2025-10-10,451
D,2023-11-15,379
A,2024-11-23,351
E,2025-10-01,485
D,2024-01-07,250
B,2025-03-09,253
D,2024-12-28,444
B,2024-11-03,360
C,2025-01-06,875
B,2025-03-18,306
G,2023-12-15,140
C,2024-08-06,930
E,2024-11-09,382
A,2023-08-17,486
A,2023-09-01,502
G,2023-11-05,159
A,2025-10-18,616
F,2025-09-27,562
A,2024-11-29,331
D,2025-12-09,617
A,2023-09-10,464
G,2024-12-03,295
E,2025-05-11,441
C,2024-07-02,589
E,2023-11-10,154
B,2023-09-23,260
F,2025-09-06,471
F,2023-12-03,620
G,2024-12-19,308
D,2025-08-09,419
E,2024-04-14,227
E,2025-02-17,449
C,2024-01-02,965
A,2025-07-08,411
E,2025-07-24,758
A,2025-09-01,749
E,2025-08-06,775
E,2025-11-19,534
E,2024-12-28,399
E,2024-01-22,103
G,2023-07-24,355
B,2024-08-04,369
E,2023-10-16,76
F,2024-07-01,690
F,2025-11-18,396
C,2024-06-19,675
E,2023-12-26,5
F,2024-07-28,562
A,2024-02-12,103
D,2024-09-10,535
E,2025-04-03,439
C,2024-10-09,905
E,2023-09-18,108
A,2024-11-09,398
E,2025-11-07,584
C,2023-11-14,1132
A,2024-01-23,114
G,2025-08-21,375
G,2024-09-07,436
F,2025-11-25,359
C,2025-03-01,923
B,2024-05-10,123
F,2023-07-28,760
B,2025-06-16,224
A,2025-05-07,422
G,2024-12-02,301
C,2025-10-23,1243
B,2023-09-16,192
D,2025-05-19,404
G,2023-10-02,221
C,2024-06-25,629
G,2023-12-22,99
C,2024-12-26,833
D,2025-01-12,486
A,2025-11-01,548
E,2025-08-29,643
D,2024-11-18,397
E,2024-09-05,443
A,2024-11-06,416
A,2023-11-15,277
E,2023-08-11,87
F,2024-01-06,543
F,2023-08-26,891
B,2024-11-30,218
F,2025-10-31,497
D,2024-01-23,169
B,2024-11-23,263
C,2024-09-18,809
C,2023-08-18,1292
F,2023-11-22,573
C,2024-05-13,747
A,2025-06-16,392
G,2025-08-04,359
B,2023-12-25,16
F,2023-12-24,598
C,2025-03-20,928
G,2024-12-04,292
G,2024-12-09,265
A,2025-11-13,460
F,2024-09-27,633
C,2023-09-10,1266
B,2025-02-11,368
F,2024-12-08,482
F,2025-02-09,573
F,2024-12-25,685
D,2023-08-31,234
C,2024-01-08,926
D,2025-11-22,492
G,2025-05-01,663
B,2024-10-14,249
G,2025-08-24,458
E,2024-04-28,242
G,2025-05-23,628
E,2023-12-29,197
A,2025-03-10,399
E,2025-04-10,397
B,2025-11-01,242
D,2025-04-20,460
B,2023-11-08,101
D,2025-01-01,431
G,2024-06-21,350
E,2025-10-13,532
G,2025-08-01,368
A,2025-03-09,409
G,2024-08-12,174
F,2025-12-06,408
A,2023-11-09,292
B,2025-01-06,238
A,2024-08-11,379
B,2025-08-06,268
A,2023-08-30,515
B,2025-11-12,178
E,2025-08-22,680
D,2024-10-01,445
B,2023-09-09,125
F,2024-08-07,619
D,2023-09-02,233
G,2025-04-06,205
A,2024-08-13,367
D,2025-02-10,406
F,2024-01-22,465
E,2024-04-05,172
E,2023-07-28,45
F,2024-11-17,502
E,2025-08-26,653
A,2024-04-17,179
F,2023-09-07,829
F,2024-04-03,455
G,2024-03-28,412
A,2023-08-16,491
D,2024-10-31,494
D,2025-08-27,531
B,2024-07-06,124
F,2025-02-15,637
D,2024-06-27,72
D,2025-06-06,522
A,2024-06-14,196
F,2024-01-03,561
E,2023-10-28,104
A,2025-11-09,491
B,2023-08-03,36
E,2023-12-03,124
C,2023-08-11,1227
D,2025-09-05,503
D,2025-11-18,510
D,2024-02-28,218
F,2025-07-19,547
G,2025-10-21,624
F,2023-09-18,773
A,2023-10-12,290
F,2024-01-26,547
F,2025-11-28,332
C,2024-04-25,732
A,2025-11-25,498
F,2024-09-23,649
E,2024-04-03,175
D,2025-01-15,460
B,2024-09-23,282
B,2024-03-20,41
A,2025-03-04,428
D,2024-11-12,429
F,2024-12-18,739
F,2023-09-28,735
B,2023-12-01,89
A,2024-02-29,18
D,2024-08-07,169
D,2025-08-29,527
G,2024-03-15,370
D,2025-04-08,415
F,2025-01-30,514
C,2023-12-16,1059
C,2024-02-27,868
F,2024-09-30,623
F,2025-08-16,582
D,2024-07-19,71
B,2023-12-15,50
A,2024-07-15,515
G,2025-05-03,650
F,2023-10-14,761
B,2025-10-08,353
G,2025-02-24,220
G,2024-12-12,246
E,2023-12-28,98
D,2024-09-21,491
F,2023-12-12,569
C,2024-03-24,814
F,2024-01-07,542
A,2024-10-19,419
E,2024-09-15,394
D,2023-08-12,125
C,2024-12-01,838
E,2025-07-06,448
A,2023-07-29,391
C,2025-02-26,944
F,2024-10-20,520
A,2023-11-01,305
A,2025-04-04,463
G,2024-11-11,330
B,2024-05-14,206
D,2025-11-24,582
D,2024-02-06,127
D,2024-01-10,236
F,2025-07-12,472
D,2025-04-10,409
B,2024-03-19,43
D,2024-12-11,512
F,2023-11-11,610
E,2024-07-09,327
E,2025-10-24,474
E,2025-09-27,503
D,2025-04-19,465
B,2025-01-31,432
C,2025-02-08,1011
C,2024-04-05,766
G,2025-09-02,430
C,2024-01-09,918
E,2025-03-04,464
D,2025-03-26,467
C,2025-08-05,966
E,2024-09-23,349
B,2024-05-04,138
A,2025-04-20,506
B,2024-02-13,39
D,2025-11-19,501
D,2024-02-27,221
B,2025-05-10,329
G,2025-03-26,172
F,2025-07-13,465
G,2024-04-11,333
G,2023-12-31,160
E,2025-10-09,458
A,2023-08-02,370
B,2024-05-26,159
D,2025-11-14,541
D,2024-03-02,209
A,2024-03-02,14
F,2025-05-14,585
D,2025-06-22,537
C,2024-07-29,975
E,2023-10-20,45
G,2025-05-27,605
C,2023-10-11,1321
C,2025-06-04,955
C,2024-10-31,894
F,2025-06-08,543
B,2025-11-02,238
F,2023-11-09,620
C,2023-08-29,1223
B,2023-12-28,98
B,2024-10-25,303
C,2025-03-06,894
A,2023-12-11,124
B,2025-11-20,145
D,2024-02-16,176
F,2025-03-26,661
C,2024-10-03,923
G,2025-05-24,624
E,2025-11-26,599
D,2025-07-14,433
G,2024-02-17,97
B,2024-12-18,237
A,2025-04-02,374
C,2024-12-15,879
E,2025-11-14,547
E,2024-12-30,392
G,2023-10-14,182
F,2024-12-30,669
A,2025-02-07,362
G,2024-06-25,333
A,2025-10-04,699
D,2025-09-06,503
G,2024-09-23,355
D,2024-08-14,143
E,2024-10-26,469
E,2024-11-30,566
E,2023-11-02,178
F,2023-07-29,852
B,2024-09-26,266
B,2023-11-30,99
D,2023-11-18,362
D,2024-05-13,95
F,2025-10-06,610
G,2025-01-21,228
F,2024-05-24,388
G,2025-02-22,230
C,2025-06-29,947
C,2024-01-13,984
B,2024-03-18,52
E,2025-06-01,440
A,2024-11-22,355
G,2023-09-30,234
C,2024-03-08,800
F,2025-09-25,578
C,2025-09-03,916
E,2024-04-23,169
E,2025-05-12,537
F,2025-06-24,569
C,2024-11-05,969
E,2023-10-02,46
F,2024-05-07,399
C,2025-05-19,1026
D,2025-08-12,505
F,2023-08-21,924
D,2025-02-07,425
A,2025-03-15,364
G,2023-10-21,234
C,2024-01-31,981
C,2025-07-15,972
A,2024-01-13,156
B,2025-08-30,247
E,2025-04-17,463
E,2024-01-30,64
F,2024-09-17,592
G,2023-09-23,278
C,2024-10-13,872
B,2023-11-07,8
B,2024-04-23,190
F,2024-11-25,543
B,2023-12-08,70
F,2024-10-13,559
C,2024-01-10,909
F,2024-03-02,500
F,2025-11-03,476
B,2024-10-27,295
C,2025-04-21,869
G,2024-08-02,234
F,2024-04-02,459
G,2025-11-16,596
A,2024-10-11,476
E,2023-11-18,212
E,2024-02-05,132
G,2024-12-13,338
B,2025-03-01,290
D,2024-01-21,173
B,2024-02-16,24
B,2023-07-26,80
B,2025-06-29,262
A,2023-10-23,236
B,2024-11-04,358
A,2024-12-15,360
F,2025-10-21,554
C,2025-07-18,955
C,2023-12-05,1115
B,2023-08-09,108
E,2023-11-29,146
E,2025-04-02,443
B,2025-08-27,269
C,2024-10-06,913
A,2024-09-30,419
C,2025-07-03,926
B,2025-10-07,363
D,2024-06-09,59
A,2025-03-19,340
E,2023-10-24,21
E,2025-01-27,454
D,2025-09-30,462
C,2025-09-23,1304
C,2025-05-04,917
D,2025-07-23,503
G,2025-10-10,475
A,2025-06-02,376
F,2023-07-27,765
B,2025-01-20,182
C,2025-11-03,1187
B,2024-06-14,44
C,2024-10-15,861
B,2024-04-16,124
F,2025-05-19,559
F,2025-07-04,523
A,2024-02-03,56
B,2024-08-31,298
B,2024-10-20,213
A,2024-10-06,493
B,2024-02-26,68
D,2023-11-30,323
F,2025-10-28,517
B,2025-10-21,277
E,2025-12-02,671
F,2025-03-31,633
B,2025-07-21,330
A,2024-02-14,98
C,2025-06-09,928
D,2023-10-09,357
A,2023-11-11,288
D,2023-11-04,424
G,2023-12-16,135
C,2025-07-04,920
E,2025-07-26,845
E,2023-09-14,26
G,2025-11-08,641
B,2023-12-02,84
C,2025-06-25,961
D,2024-09-15,512
G,2024-11-01,282
A,2024-09-04,454
E,2025-07-07,546
F,2023-10-31,670
A,2024-07-12,527
G,2023-11-18,80
B,2024-03-09,101
B,2024-01-05,54
F,2024-09-03,575
F,2024-12-28,676
B,2023-12-20,32
B,2023-12-11,55
C,2024-09-12,844
G,2024-02-06,57
F,2023-11-21,575
F,2024-06-04,329
D,2024-05-04,40
B,2024-12-05,291
G,2023-10-13,183
G,2023-08-02,310
C,2025-02-21,961
B,2025-09-12,270
A,2023-11-03,305
G,2023-08-29,301
F,2025-06-14,625
C,2025-08-22,879
B,2024-03-10,91
A,2024-03-04,3
D,2024-05-20,52
F,2023-07-31,845
B,2025-09-20,328
C,2025-11-13,1113
D,2025-07-01,507
C,2024-10-30,895
E,2025-05-16,522
C,2025-11-06,1168
E,2025-02-21,428
A,2023-11-08,298
B,2024-07-14,95
F,2025-05-28,502
E,2025-11-21,630
F,2024-10-07,596
B,2024-11-08,333
F,2024-03-24,504
F,2024-12-01,502
G,2025-06-18,500
E,2024-03-30,197
A,2024-06-12,206
A,2024-10-20,417
E,2025-06-20,457
A,2025-03-28,385
C,2025-05-01,932
C,2024-09-03,904
D,2024-01-25,168
D,2024-04-19,101
C,2024-05-15,746
D,2024-08-03,186
F,2024-04-17,480
E,2023-11-01,84
E,2024-02-02,144
E,2025-08-13,735
B,2025-10-14,322
C,2024-12-08,903
F,2024-10-31,577
A,2024-08-27,399
C,2024-12-22,846
D,2024-07-25,37
F,2024-08-04,526
F,2024-10-01,623
G,2025-05-15,674
D,2023-07-30,168
G,2023-08-22,321
C,2025-03-28,886
C,2024-02-21,900
F,2024-04-06,543
G,2024-05-02,298
F,2024-04-25,450
G,2024-09-15,405
F,2025-03-25,664
B,2025-08-29,257
D,2025-05-07,466
G,2025-01-17,251
D,2025-04-30,512
B,2025-05-24,346
F,2025-07-16,555
F,2023-10-19,741
C,2024-10-04,920
C,2025-09-07,893
F,2024-04-14,500
E,2024-05-23,519
E,2024-11-15,548
B,2023-07-29,62
A,2024-11-02,343
G,2023-08-04,299
E,2023-07-22,81
G,2024-09-04,352
E,2023-09-24,79
B,2025-07-23,319
C,2024-03-09,890
G,2024-10-28,293
C,2023-08-07,1254
A,2025-11-03,529
G,2024-11-24,241
C,2024-02-11,939
B,2024-12-16,244
A,2024-01-15,139
B,2024-12-26,189
E,2024-03-28,204
A,2025-01-26,433
C,2024-01-05,951
E,2024-01-26,85
D,2023-10-04,275
F,2023-09-22,750
F,2025-01-04,644
D,2024-01-13,217
D,2024-07-29,13
C,2023-12-15,1065
D,2025-10-21,547
G,2024-03-05,423
G,2024-03-23,427
A,2024-10-07,490
D,2023-08-25,267
E,2025-11-10,573
C,2023-07-26,1304
F,2024-10-06,606
F,2025-10-01,642
C,2024-10-28,905
G,2023-08-12,250
E,2024-10-07,387
D,2023-12-18,242
G,2025-05-31,583
B,2025-06-22,291
A,2023-11-27,204
D,2024-03-11,186
E,2025-05-18,511
A,2023-12-17,199
F,2025-02-11,555
D,2024-04-17,106
F,2025-05-03,546
F,2024-10-19,530
F,2023-11-14,603
C,2024-11-10,952
D,2023-07-19,9
D,2024-12-03,547
A,2024-10-16,439
G,2025-07-04,426
F,2025-10-08,602
B,2024-06-06,91
F,2024-03-04,490
E,2025-06-08,404
G,2023-10-15,172
F,2025-01-17,576
D,2025-07-15,433
G,2024-05-06,284
B,2024-11-02,368
F,2025-02-18,624
B,2025-01-12,204
F,2023-07-25,774
C,2024-06-01,768
E,2025-06-25,419
F,2025-11-27,342
G,2025-09-05,422
F,2024-08-13,588
D,2025-07-31,469
C,2023-11-27,1162
D,2024-06-17,124
A,2025-02-22,387
C,2024-08-04,947
A,2023-07-26,400
B,2025-11-16,163
B,2025-10-20,286
C,2025-08-26,850
G,2023-12-11,154
F,2024-11-12,533
A,2025-10-02,705
D,2025-02-14,376
B,2025-10-02,382
A,2024-03-28,185
B,2023-11-01,40
F,2025-07-02,534
E,2025-05-15,528
C,2024-11-02,984
D,2025-04-26,533
E,2024-01-23,100
B,2024-05-17,200
F,2024-08-27,603
F,2024-11-13,523
G,2025-04-10,189
A,2024-01-02,206
B,2023-10-06,175
E,2024-08-20,408
F,2024-01-19,485
C,2024-01-22,924
C,2025-09-27,1273
E,2024-01-18,128
F,2024-05-13,363
D,2024-09-12,526
A,2024-08-20,440
D,2024-04-15,116
B,2025-11-15,164
C,2024-09-26,863
A,2024-11-21,355
D,2025-01-29,376
G,2025-06-12,521
D,2024-06-22,98
D,2025-10-24,538
D,2023-11-09,398
G,2024-10-01,312
F,2024-04-08,532
G,2024-07-03,287
B,2024-12-08,276
D,2025-04-11,405
D,2024-08-10,161
C,2023-08-21,1272
A,2024-09-15,400
B,2023-11-20,50
F,2025-01-07,624
B,2023-08-16,171
B,2025-03-05,265
E,2024-11-27,586
F,2024-11-10,534
B,2025-03-14,227
A,2024-02-17,85
F,2023-07-21,797
F,2024-12-20,719
D,2024-06-01,93
D,2024-07-11,5
G,2025-07-22,329
B,2024-07-15,94
F,2023-11-24,562
D,2024-10-15,354
E,2023-08-01,30
C,2025-06-08,936
G,2024-12-17,318
D,2023-11-29,332
C,2024-09-05,895
C,2024-08-17,993
A,2025-10-26,571
F,2024-11-06,543
C,2024-09-16,821
F,2023-08-19,941
F,2024-04-10,519
A,2025-01-15,505
E,2024-11-12,367
A,2025-08-16,509
G,2025-02-18,162
B,2024-09-05,265
C,2025-05-16,935
B,2024-05-01,163
F,2025-07-31,485
B,2023-10-28,55
B,2024-12-29,176
E,2024-12-27,409
E,2025-02-02,419
F,2023-10-26,700
B,2025-07-07,216
E,2023-08-13,84
A,2024-07-21,483
G,2024-11-30,205
B,2025-08-03,278
C,2023-09-04,1187
A,2023-10-15,276
E,2024-09-04,453
A,2025-05-29,399
B,2025-09-27,307
G,2024-10-29,291
D,2025-07-16,427
D,2024-06-26,77
B,2025-08-17,209
A,2024-05-10,196
A,2024-04-08,130
E,2024-08-29,482
E,2024-05-08,181
B,2025-02-03,415
E,2024-06-27,410
D,2024-06-19,109
G,2023-09-17,308
D,2024-03-17,151
C,2024-10-12,881
B,2024-10-07,294
E,2025-03-26,465
C,2023-09-24,1306
D,2024-03-08,196
G,2025-05-29,594
E,2024-02-17,168
C,2024-10-14,871
G,2024-03-26,415
F,2025-05-08,515
C,2024-04-02,779
E,2025-09-19,544
E,2024-06-24,433
F,2023-09-09,810
B,2025-03-28,344
G,2025-10-15,649
E,2025-06-03,431
G,2023-10-19,245
A,2024-09-09,426
E,2025-09-23,519
D,2024-03-15,164
G,2024-06-03,241
B,2024-03-25,20
E,2023-10-06,26
C,2025-12-09,974
A,2024-03-30,172
E,2025-05-26,466
F,2024-04-07,537
E,2025-12-06,659
E,2024-03-21,133
B,2025-01-11,211
B,2024-03-23,22
D,2025-07-29,478
C,2025-09-24,1295
F,2025-02-12,552
A,2025-08-06,352
C,2024-01-23,918
F,2023-11-13,605
B,2024-12-20,229
C,2023-09-11,1256
G,2025-10-29,700
D,2023-08-11,128
A,2025-07-18,352
B,2024-01-26,154
A,2023-12-07,142
D,2024-03-24,119
B,2024-01-04,61
E,2024-05-18,551
G,2025-04-21,113
C,2024-08-20,972
B,2024-10-21,211
B,2025-10-16,313
D,2024-07-30,9
E,2023-11-07,164
D,2025-04-15,385
G,2023-12-25,82
E,2025-06-27,405
A,2023-08-31,512
F,2025-06-16,610
B,2024-02-03,97
E,2024-12-18,468
E,2023-09-23,88
F,2024-10-16,547
D,2024-02-22,137
E,2023-08-06,8
F,2024-01-24,457
D,2024-01-19,183
D,2025-05-21,390
G,2023-12-10,154
A,2025-01-03,570
G,2024-03-03,335
D,2024-02-12,192
E,2024-03-05,114
E,2024-07-30,409
C,2025-11-11,1128
G,2025-09-09,510
F,2024-06-16,661
F,2024-02-17,444
A,2023-12-04,158
F,2024-08-02,536
A,2025-02-10,351
C,2025-10-21,1259
E,2025-11-13,548
E,2025-06-21,454
A,2024-09-23,355
E,2025-06-14,379
G,2025-02-10,213
E,2023-12-15,72
G,2025-06-05,556
E,2024-05-04,214
